SE_NM,SGG_NM,SPOT_NM,STA_NM,GRDNT_VAL,SLANT_GRD_CD
해수욕장,포항시,오도1리,오도리 해수욕장,24.62,B
갯바위,부산시,이기대,이기대갯바위,24.62,B
갯벌,태안군,방포항,할미할아비바위,24.62,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.62,B
갯벌,서천군,선도리,선도리갯벌,24.63,B
방파제,영덕군,축산항,축산방파제,24.64,B
갯바위,부산시,이기대,이기대갯바위,24.66,B
방파제,울산시,방어진항,방어진항방파제,24.67,B
방파제,영덕군,축산항,축산방파제,24.67,B
갯바위,삼척시,갈남리,갈남해수욕장,24.68,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.68,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.7,B
갯바위,부산시,이기대,이기대갯바위,24.7,B
갯벌,태안군,방포항,할미할아비바위,24.7,B
갯바위,부산시,이기대,이기대갯바위,24.71,B
갯바위,부산시,이기대,이기대갯바위,24.71,B
갯벌,태안군,방포항,할미할아비바위,24.71,B
방파제,울산시,방어진항,방어진항방파제,24.71,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.72,B
방파제,울산시,방어진항,방어진항방파제,24.72,B
갯벌,태안군,방포항,할미할아비바위,24.75,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.76,B
방파제,울산시,방어진항,방어진항방파제,24.76,B
갯벌,서천군,선도리,선도리갯벌,24.77,B
갯바위,삼척시,갈남리,갈남해수욕장,24.78,B
갯바위,삼척시,갈남리,갈남해수욕장,24.79,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.79,B
갯바위,삼척시,갈남리,갈남해수욕장,24.8,B
갯바위,삼척시,갈남리,갈남해수욕장,24.8,B
갯바위,삼척시,갈남리,갈남해수욕장,24.81,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.82,B
갯바위,부산시,이기대,이기대갯바위,24.82,B
갯바위,삼척시,갈남리,갈남해수욕장,24.83,B
갯바위,삼척시,갈남리,갈남해수욕장,24.83,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.83,B
갯바위,부산시,이기대,이기대갯바위,24.84,B
방파제,울산시,방어진항,방어진항방파제,24.85,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.86,B
갯바위,부산시,이기대,이기대갯바위,24.88,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.89,B
갯바위,삼척시,갈남리,갈남해수욕장,24.9,B
갯바위,부산시,이기대,이기대갯바위,24.9,B
갯바위,삼척시,갈남리,갈남해수욕장,24.91,B
갯바위,삼척시,갈남리,갈남해수욕장,24.91,B
갯바위,부산시,이기대,이기대갯바위,24.91,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.91,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.92,B
갯벌,태안군,방포항,할미할아비바위,24.93,B
갯벌,태안군,방포항,할미할아비바위,24.93,B
방파제,울산시,방어진항,방어진항방파제,24.93,B
방파제,영덕군,축산항,축산방파제,24.93,B
갯바위,부산시,이기대,이기대갯바위,24.94,B
