SE_NM,SGG_NM,SPOT_NM,STA_NM,GRDNT_VAL,SLANT_GRD_CD
방파제,영덕군,축산항,축산방파제,25.47,B
갯바위,삼척시,갈남리,갈남해수욕장,25.48,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.49,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.5,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.5,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.51,B
방파제,울산시,방어진항,방어진항방파제,25.51,B
갯바위,삼척시,갈남리,갈남해수욕장,25.52,B
갯바위,부산시,이기대,이기대갯바위,25.53,B
갯바위,삼척시,갈남리,갈남해수욕장,25.54,B
갯벌,태안군,방포항,할미할아비바위,25.54,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.54,B
방파제,울산시,방어진항,방어진항방파제,25.54,B
방파제,영덕군,축산항,축산방파제,25.54,B
방파제,영덕군,축산항,축산방파제,25.55,B
갯바위,부산시,이기대,이기대갯바위,25.56,B
갯벌,태안군,방포항,할미할아비바위,25.56,B
갯벌,태안군,방포항,할미할아비바위,25.56,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.57,B
갯바위,부산시,이기대,이기대갯바위,25.57,B
갯벌,태안군,방포항,할미할아비바위,25.57,B
방파제,영덕군,축산항,축산방파제,25.58,B
갯바위,삼척시,갈남리,갈남해수욕장,25.59,B
갯벌,태안군,방포항,할미할아비바위,25.59,B
갯벌,태안군,방포항,할미할아비바위,25.59,B
갯벌,서천군,선도리,선도리갯벌,25.6,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.61,B
갯벌,태안군,방포항,할미할아비바위,25.61,B
갯바위,삼척시,갈남리,갈남해수욕장,25.62,B
갯바위,부산시,이기대,이기대갯바위,25.62,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.62,B
갯바위,삼척시,갈남리,갈남해수욕장,25.65,B
갯바위,삼척시,갈남리,갈남해수욕장,25.66,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.67,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.68,B
방파제,영덕군,축산항,축산방파제,25.7,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.71,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.71,B
갯바위,부안군,격포리,채석강,25.72,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.73,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.74,B
방파제,울산시,방어진항,방어진항방파제,25.74,B
방파제,울산시,방어진항,방어진항방파제,25.74,B
갯바위,삼척시,갈남리,갈남해수욕장,25.76,B
방파제,영덕군,축산항,축산방파제,25.76,B
갯벌,태안군,방포항,할미할아비바위,25.78,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.78,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.78,B
갯벌,태안군,방포항,할미할아비바위,25.8,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.8,B
갯바위,부안군,격포리,채석강,25.8,B
갯바위,부산시,이기대,이기대갯바위,25.82,B
갯바위,삼척시,갈남리,갈남해수욕장,25.85,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.87,B
갯바위,부산시,이기대,이기대갯바위,25.88,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.89,B
방파제,울산시,방어진항,방어진항방파제,25.91,B
갯바위,부산시,이기대,이기대갯바위,25.92,B
갯바위,부산시,이기대,이기대갯바위,25.93,B
갯벌,태안군,방포항,할미할아비바위,25.93,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.95,B
방파제,영덕군,축산항,축산방파제,25.96,B
갯바위,삼척시,갈남리,갈남해수욕장,25.97,B
갯바위,부안군,격포리,채석강,25.97,B
갯바위,삼척시,갈남리,갈남해수욕장,25.98,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.98,B
갯바위,부산시,이기대,이기대갯바위,25.99,B
갯벌,태안군,방포항,할미할아비바위,26,B
갯바위,삼척시,갈남리,갈남해수욕장,26.01,B
갯바위,부산시,이기대,이기대갯바위,26.01,B
갯바위,부산시,이기대,이기대갯바위,26.03,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.06,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.06,B
갯바위,삼척시,갈남리,갈남해수욕장,26.07,B
갯바위,삼척시,갈남리,갈남해수욕장,26.08,B
갯바위,삼척시,갈남리,갈남해수욕장,26.09,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.1,B
갯벌,태안군,방포항,할미할아비바위,26.11,B
방파제,영덕군,축산항,축산방파제,26.11,B
갯벌,태안군,방포항,할미할아비바위,26.12,B
방파제,울산시,방어진항,방어진항방파제,26.12,B
갯바위,부안군,격포리,채석강,26.13,B
해수욕장,포항시,오도1리,오도리 해수욕장,26.14,B
방파제,울산시,방어진항,방어진항방파제,26.16,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.19,B
갯바위,부산시,이기대,이기대갯바위,26.21,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.21,B
갯벌,태안군,방포항,할미할아비바위,26.22,B
방파제,영덕군,축산항,축산방파제,26.22,B
방파제,울산시,방어진항,방어진항방파제,26.23,B
방파제,울산시,방어진항,방어진항방파제,26.24,B
방파제,영덕군,축산항,축산방파제,26.24,B
갯벌,태안군,방포항,할미할아비바위,26.26,B
갯벌,서천군,선도리,선도리갯벌,26.28,B
갯바위,삼척시,갈남리,갈남해수욕장,26.32,B
방파제,영덕군,축산항,축산방파제,26.33,B
갯벌,태안군,방포항,할미할아비바위,26.36,B
갯벌,태안군,방포항,할미할아비바위,26.38,B
방파제,울산시,방어진항,방어진항방파제,26.38,B
갯바위,삼척시,갈남리,갈남해수욕장,26.39,B
갯바위,부산시,이기대,이기대갯바위,26.39,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.39,B
갯벌,태안군,방포항,할미할아비바위,26.4,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.4,B
해수욕장,포항시,오도1리,오도리 해수욕장,26.41,B
갯바위,부산시,이기대,이기대갯바위,26.43,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.44,B
방파제,울산시,방어진항,방어진항방파제,26.44,B
해수욕장,포항시,오도1리,오도리 해수욕장,26.45,B
갯벌,태안군,방포항,할미할아비바위,26.45,B
갯바위,삼척시,갈남리,갈남해수욕장,26.46,B
갯벌,태안군,방포항,할미할아비바위,26.51,B
갯바위,삼척시,갈남리,갈남해수욕장,26.52,B
갯바위,부산시,이기대,이기대갯바위,26.52,B
갯바위,삼척시,갈남리,갈남해수욕장,26.56,B
갯바위,삼척시,갈남리,갈남해수욕장,26.57,B
갯바위,삼척시,갈남리,갈남해수욕장,26.57,B
방파제,영덕군,축산항,축산방파제,26.58,B
갯바위,삼척시,갈남리,갈남해수욕장,26.59,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.59,B
갯바위,삼척시,갈남리,갈남해수욕장,26.6,B
갯벌,태안군,방포항,할미할아비바위,26.6,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.61,B
갯벌,서천군,선도리,선도리갯벌,26.61,B
갯바위,삼척시,갈남리,갈남해수욕장,26.64,B
갯벌,태안군,방포항,할미할아비바위,26.64,B
갯벌,태안군,방포항,할미할아비바위,26.64,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.64,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.64,B
갯벌,태안군,방포항,할미할아비바위,26.65,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.65,B
해수욕장,포항시,오도1리,오도리 해수욕장,26.68,B
갯벌,태안군,방포항,할미할아비바위,26.68,B
갯바위,삼척시,갈남리,갈남해수욕장,26.7,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.71,B
갯바위,삼척시,갈남리,갈남해수욕장,26.72,B
방파제,울산시,방어진항,방어진항방파제,26.73,B
갯벌,태안군,방포항,할미할아비바위,26.75,B
갯벌,태안군,방포항,할미할아비바위,26.75,B
방파제,울산시,방어진항,방어진항방파제,26.75,B
방파제,영덕군,축산항,축산방파제,26.75,B
갯바위,삼척시,갈남리,갈남해수욕장,26.77,B
방파제,울산시,방어진항,방어진항방파제,26.77,B
갯바위,부안군,격포리,채석강,26.77,B
갯바위,삼척시,갈남리,갈남해수욕장,26.78,B
갯바위,부산시,이기대,이기대갯바위,26.78,B
갯벌,태안군,방포항,할미할아비바위,26.78,B
방파제,울산시,방어진항,방어진항방파제,26.78,B
방파제,영덕군,축산항,축산방파제,26.79,B
갯바위,부산시,이기대,이기대갯바위,26.8,B
갯벌,태안군,방포항,할미할아비바위,26.8,B
방파제,울산시,방어진항,방어진항방파제,26.8,B
방파제,영덕군,축산항,축산방파제,26.82,B
방파제,영덕군,축산항,축산방파제,26.82,B
방파제,영덕군,축산항,축산방파제,26.84,B
갯벌,서천군,선도리,선도리갯벌,26.86,B
갯벌,태안군,방포항,할미할아비바위,26.87,B
방파제,영덕군,축산항,축산방파제,26.89,B
갯바위,삼척시,갈남리,갈남해수욕장,26.9,B
방파제,영덕군,축산항,축산방파제,26.9,B
갯바위,삼척시,갈남리,갈남해수욕장,26.91,B
갯바위,삼척시,갈남리,갈남해수욕장,26.92,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.92,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.93,B
갯바위,삼척시,갈남리,갈남해수욕장,26.94,B
갯벌,태안군,방포항,할미할아비바위,26.95,B
갯바위,부산시,대변항,대변항 북측 갯바위,26.97,B
방파제,울산시,방어진항,방어진항방파제,26.98,B
갯바위,삼척시,갈남리,갈남해수욕장,26.99,B
갯바위,부산시,이기대,이기대갯바위,26.99,B
갯벌,서천군,선도리,선도리갯벌,26.99,B
갯벌,서천군,선도리,선도리갯벌,27,B
갯벌,태안군,방포항,할미할아비바위,27.01,B
방파제,울산시,방어진항,방어진항방파제,27.03,B
갯바위,삼척시,갈남리,갈남해수욕장,27.04,B
갯바위,삼척시,갈남리,갈남해수욕장,27.04,B
갯벌,태안군,방포항,할미할아비바위,27.04,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.04,B
방파제,울산시,방어진항,방어진항방파제,27.04,B
갯바위,삼척시,갈남리,갈남해수욕장,27.05,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.05,B
방파제,울산시,방어진항,방어진항방파제,27.05,B
갯바위,부산시,이기대,이기대갯바위,27.06,B
갯바위,부산시,이기대,이기대갯바위,27.08,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.08,B
방파제,울산시,방어진항,방어진항방파제,27.09,B
방파제,영덕군,축산항,축산방파제,27.09,B
방파제,영덕군,축산항,축산방파제,27.09,B
갯바위,삼척시,갈남리,갈남해수욕장,27.1,B
방파제,영덕군,축산항,축산방파제,27.1,B
갯바위,부산시,이기대,이기대갯바위,27.11,B
갯벌,태안군,방포항,할미할아비바위,27.11,B
방파제,울산시,방어진항,방어진항방파제,27.11,B
방파제,울산시,방어진항,방어진항방파제,27.12,B
방파제,울산시,방어진항,방어진항방파제,27.12,B
갯바위,부산시,이기대,이기대갯바위,27.13,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.13,B
갯바위,부산시,이기대,이기대갯바위,27.14,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.15,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.15,B
갯바위,삼척시,갈남리,갈남해수욕장,27.16,B
갯벌,서천군,선도리,선도리갯벌,27.16,B
갯바위,부산시,이기대,이기대갯바위,27.19,B
갯바위,삼척시,갈남리,갈남해수욕장,27.2,B
갯벌,태안군,방포항,할미할아비바위,27.2,B
방파제,울산시,방어진항,방어진항방파제,27.22,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.23,B
갯바위,부산시,이기대,이기대갯바위,27.23,B
갯벌,태안군,방포항,할미할아비바위,27.23,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.23,B
방파제,영덕군,축산항,축산방파제,27.23,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.24,B
갯바위,삼척시,갈남리,갈남해수욕장,27.25,B
갯벌,태안군,방포항,할미할아비바위,27.25,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.25,B
갯벌,태안군,방포항,할미할아비바위,27.26,B
방파제,울산시,방어진항,방어진항방파제,27.26,B
방파제,울산시,방어진항,방어진항방파제,27.27,B
갯벌,태안군,방포항,할미할아비바위,27.29,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.3,B
갯벌,태안군,방포항,할미할아비바위,27.3,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.3,B
갯바위,부산시,이기대,이기대갯바위,27.31,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.32,B
갯바위,삼척시,갈남리,갈남해수욕장,27.34,B
갯벌,태안군,방포항,할미할아비바위,27.34,B
방파제,울산시,방어진항,방어진항방파제,27.35,B
갯벌,태안군,방포항,할미할아비바위,27.38,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.39,B
갯벌,태안군,방포항,할미할아비바위,27.4,B
갯바위,삼척시,갈남리,갈남해수욕장,27.42,B
갯바위,부산시,이기대,이기대갯바위,27.42,B
방파제,울산시,방어진항,방어진항방파제,27.45,B
갯벌,서천군,선도리,선도리갯벌,27.45,B
방파제,영덕군,축산항,축산방파제,27.45,B
갯벌,태안군,방포항,할미할아비바위,27.46,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.47,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.47,B
방파제,울산시,방어진항,방어진항방파제,27.47,B
갯벌,서천군,선도리,선도리갯벌,27.47,B
갯바위,부산시,이기대,이기대갯바위,27.48,B
방파제,울산시,방어진항,방어진항방파제,27.48,B
갯바위,삼척시,갈남리,갈남해수욕장,27.52,B
갯바위,부산시,이기대,이기대갯바위,27.53,B
방파제,울산시,방어진항,방어진항방파제,27.55,B
갯바위,삼척시,갈남리,갈남해수욕장,27.56,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.56,B
방파제,울산시,방어진항,방어진항방파제,27.57,B
방파제,울산시,방어진항,방어진항방파제,27.6,B
갯벌,태안군,방포항,할미할아비바위,27.61,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.61,B
방파제,영덕군,축산항,축산방파제,27.61,B
방파제,울산시,방어진항,방어진항방파제,27.63,B
갯바위,삼척시,갈남리,갈남해수욕장,27.68,B
갯바위,부산시,이기대,이기대갯바위,27.68,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.7,B
갯벌,서천군,선도리,선도리갯벌,27.7,B
방파제,영덕군,축산항,축산방파제,27.7,B
갯바위,삼척시,갈남리,갈남해수욕장,27.71,B
갯바위,삼척시,갈남리,갈남해수욕장,27.71,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.71,B
갯바위,부안군,격포리,채석강,27.72,B
갯바위,부산시,이기대,이기대갯바위,27.73,B
방파제,울산시,방어진항,방어진항방파제,27.73,B
갯벌,태안군,방포항,할미할아비바위,27.75,B
갯벌,태안군,방포항,할미할아비바위,27.76,B
갯벌,서천군,선도리,선도리갯벌,27.76,B
갯바위,삼척시,갈남리,갈남해수욕장,27.77,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.78,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.78,B
갯벌,태안군,방포항,할미할아비바위,27.8,B
갯벌,태안군,방포항,할미할아비바위,27.8,B
방파제,영덕군,축산항,축산방파제,27.8,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.81,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.82,B
갯바위,삼척시,갈남리,갈남해수욕장,27.84,B
방파제,울산시,방어진항,방어진항방파제,27.84,B
갯벌,서천군,선도리,선도리갯벌,27.85,B
방파제,영덕군,축산항,축산방파제,27.87,B
갯바위,부산시,이기대,이기대갯바위,27.89,B
갯바위,부산시,이기대,이기대갯바위,27.89,B
갯바위,부산시,이기대,이기대갯바위,27.9,B
갯바위,부산시,이기대,이기대갯바위,27.93,B
갯바위,부안군,격포리,채석강,27.93,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.94,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.94,B
해수욕장,포항시,오도1리,오도리 해수욕장,27.95,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.95,B
방파제,울산시,방어진항,방어진항방파제,27.98,B
방파제,영덕군,축산항,축산방파제,27.98,B
방파제,영덕군,축산항,축산방파제,27.98,B
갯바위,부산시,대변항,대변항 북측 갯바위,27.99,B
방파제,영덕군,축산항,축산방파제,27.99,B
방파제,영덕군,축산항,축산방파제,27.99,B
해수욕장,포항시,오도1리,오도리 해수욕장,28,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.01,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.01,B
갯바위,삼척시,갈남리,갈남해수욕장,28.03,B
방파제,영덕군,축산항,축산방파제,28.03,B
갯벌,서천군,선도리,선도리갯벌,28.04,B
갯벌,태안군,방포항,할미할아비바위,28.05,B
갯바위,삼척시,갈남리,갈남해수욕장,28.06,B
갯바위,삼척시,갈남리,갈남해수욕장,28.1,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.1,B
갯바위,삼척시,갈남리,갈남해수욕장,28.11,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.11,B
갯바위,삼척시,갈남리,갈남해수욕장,28.12,B
갯바위,삼척시,갈남리,갈남해수욕장,28.13,B
갯바위,부산시,이기대,이기대갯바위,28.14,B
갯벌,태안군,방포항,할미할아비바위,28.14,B
갯바위,삼척시,갈남리,갈남해수욕장,28.15,B
갯벌,태안군,방포항,할미할아비바위,28.15,B
방파제,울산시,방어진항,방어진항방파제,28.15,B
방파제,울산시,방어진항,방어진항방파제,28.16,B
갯바위,부산시,이기대,이기대갯바위,28.17,B
갯바위,부안군,격포리,채석강,28.17,B
갯벌,태안군,방포항,할미할아비바위,28.18,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.19,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.2,B
갯벌,서천군,선도리,선도리갯벌,28.2,B
갯바위,삼척시,갈남리,갈남해수욕장,28.21,B
갯바위,부산시,이기대,이기대갯바위,28.21,B
방파제,영덕군,축산항,축산방파제,28.21,B
갯벌,서천군,선도리,선도리갯벌,28.22,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.23,B
갯바위,부산시,이기대,이기대갯바위,28.25,B
갯바위,부산시,이기대,이기대갯바위,28.25,B
방파제,영덕군,축산항,축산방파제,28.25,B
갯벌,태안군,방포항,할미할아비바위,28.29,B
갯바위,삼척시,갈남리,갈남해수욕장,28.3,B
갯바위,부산시,이기대,이기대갯바위,28.31,B
갯바위,삼척시,갈남리,갈남해수욕장,28.32,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.32,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.32,B
방파제,울산시,방어진항,방어진항방파제,28.32,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.34,B
갯바위,삼척시,갈남리,갈남해수욕장,28.35,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.35,B
방파제,울산시,방어진항,방어진항방파제,28.35,B
갯바위,부산시,이기대,이기대갯바위,28.36,B
갯벌,태안군,방포항,할미할아비바위,28.36,B
갯벌,태안군,방포항,할미할아비바위,28.37,B
갯벌,태안군,방포항,할미할아비바위,28.39,B
갯바위,삼척시,갈남리,갈남해수욕장,28.42,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.42,B
방파제,영덕군,축산항,축산방파제,28.42,B
갯벌,태안군,방포항,할미할아비바위,28.44,B
방파제,울산시,방어진항,방어진항방파제,28.51,B
갯바위,부산시,이기대,이기대갯바위,28.52,B
갯바위,삼척시,갈남리,갈남해수욕장,28.53,B
갯벌,태안군,방포항,할미할아비바위,28.53,B
갯바위,부안군,격포리,채석강,28.53,B
갯벌,태안군,방포항,할미할아비바위,28.54,B
방파제,울산시,방어진항,방어진항방파제,28.55,B
방파제,영덕군,축산항,축산방파제,28.55,B
갯바위,삼척시,갈남리,갈남해수욕장,28.58,B
갯바위,삼척시,갈남리,갈남해수욕장,28.59,B
갯바위,부산시,이기대,이기대갯바위,28.59,B
방파제,영덕군,축산항,축산방파제,28.59,B
갯바위,삼척시,갈남리,갈남해수욕장,28.6,B
갯바위,삼척시,갈남리,갈남해수욕장,28.61,B
갯바위,삼척시,갈남리,갈남해수욕장,28.62,B
갯바위,삼척시,갈남리,갈남해수욕장,28.62,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.62,B
방파제,울산시,방어진항,방어진항방파제,28.62,B
갯벌,태안군,방포항,할미할아비바위,28.63,B
갯바위,부산시,이기대,이기대갯바위,28.64,B
방파제,영덕군,축산항,축산방파제,28.64,B
갯벌,태안군,방포항,할미할아비바위,28.65,B
방파제,울산시,방어진항,방어진항방파제,28.67,B
방파제,영덕군,축산항,축산방파제,28.67,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.69,B
방파제,영덕군,축산항,축산방파제,28.69,B
갯바위,삼척시,갈남리,갈남해수욕장,28.71,B
갯바위,삼척시,갈남리,갈남해수욕장,28.72,B
갯벌,태안군,방포항,할미할아비바위,28.72,B
갯바위,삼척시,갈남리,갈남해수욕장,28.73,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.73,B
방파제,영덕군,축산항,축산방파제,28.75,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.76,B
갯바위,삼척시,갈남리,갈남해수욕장,28.79,B
갯벌,태안군,방포항,할미할아비바위,28.79,B
갯벌,태안군,방포항,할미할아비바위,28.79,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.79,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.8,B
방파제,울산시,방어진항,방어진항방파제,28.8,B
방파제,영덕군,축산항,축산방파제,28.83,B
갯바위,삼척시,갈남리,갈남해수욕장,28.87,B
갯바위,삼척시,갈남리,갈남해수욕장,28.87,B
방파제,울산시,방어진항,방어진항방파제,28.87,B
갯바위,삼척시,갈남리,갈남해수욕장,28.88,B
갯바위,부산시,이기대,이기대갯바위,28.88,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.88,B
갯바위,삼척시,갈남리,갈남해수욕장,28.89,B
갯벌,서천군,선도리,선도리갯벌,28.89,B
갯바위,삼척시,갈남리,갈남해수욕장,28.91,B
갯벌,태안군,방포항,할미할아비바위,28.91,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.92,B
갯벌,태안군,방포항,할미할아비바위,28.92,B
갯바위,삼척시,갈남리,갈남해수욕장,28.93,B
갯바위,부산시,이기대,이기대갯바위,28.94,B
갯벌,태안군,방포항,할미할아비바위,28.94,B
방파제,울산시,방어진항,방어진항방파제,28.94,B
갯바위,부산시,이기대,이기대갯바위,28.95,B
갯바위,부산시,대변항,대변항 북측 갯바위,28.96,B
해수욕장,포항시,오도1리,오도리 해수욕장,28.97,B
갯바위,부안군,격포리,채석강,28.98,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.01,B
갯바위,삼척시,갈남리,갈남해수욕장,29.02,B
갯바위,삼척시,갈남리,갈남해수욕장,29.05,B
방파제,영덕군,축산항,축산방파제,29.05,B
갯벌,태안군,방포항,할미할아비바위,29.06,B
방파제,울산시,방어진항,방어진항방파제,29.06,B
방파제,울산시,방어진항,방어진항방파제,29.06,B
방파제,울산시,방어진항,방어진항방파제,29.07,B
갯바위,부산시,이기대,이기대갯바위,29.08,B
방파제,영덕군,축산항,축산방파제,29.09,B
갯벌,태안군,방포항,할미할아비바위,29.1,B
갯바위,삼척시,갈남리,갈남해수욕장,29.11,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.12,B
방파제,울산시,방어진항,방어진항방파제,29.12,B
갯벌,서천군,선도리,선도리갯벌,29.12,B
갯바위,부산시,이기대,이기대갯바위,29.13,B
갯바위,삼척시,갈남리,갈남해수욕장,29.14,B
갯바위,부산시,이기대,이기대갯바위,29.15,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.15,B
방파제,울산시,방어진항,방어진항방파제,29.17,B
갯바위,부산시,이기대,이기대갯바위,29.18,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.2,B
갯바위,삼척시,갈남리,갈남해수욕장,29.21,B
갯바위,부산시,이기대,이기대갯바위,29.22,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.22,B
갯벌,화성시,제부도,매바위,29.24,B
갯벌,태안군,방포항,할미할아비바위,29.24,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.24,B
갯벌,서천군,선도리,선도리갯벌,29.24,B
갯바위,삼척시,갈남리,갈남해수욕장,29.25,B
방파제,울산시,방어진항,방어진항방파제,29.25,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.26,B
갯벌,태안군,방포항,할미할아비바위,29.27,B
방파제,영덕군,축산항,축산방파제,29.27,B
갯바위,부산시,이기대,이기대갯바위,29.28,B
갯바위,삼척시,갈남리,갈남해수욕장,29.29,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.29,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.29,B
방파제,영덕군,축산항,축산방파제,29.29,B
방파제,울산시,방어진항,방어진항방파제,29.3,B
갯바위,부산시,이기대,이기대갯바위,29.32,B
방파제,울산시,방어진항,방어진항방파제,29.34,B
방파제,영덕군,축산항,축산방파제,29.34,B
방파제,영덕군,축산항,축산방파제,29.35,B
방파제,울산시,방어진항,방어진항방파제,29.37,B
갯바위,삼척시,갈남리,갈남해수욕장,29.38,B
갯벌,서천군,선도리,선도리갯벌,29.38,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.39,B
갯바위,부산시,이기대,이기대갯바위,29.41,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.42,B
방파제,울산시,방어진항,방어진항방파제,29.42,B
갯바위,부산시,이기대,이기대갯바위,29.43,B
갯바위,삼척시,갈남리,갈남해수욕장,29.44,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.44,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.48,B
방파제,울산시,방어진항,방어진항방파제,29.49,B
갯벌,태안군,방포항,할미할아비바위,29.5,B
갯바위,삼척시,갈남리,갈남해수욕장,29.51,B
해수욕장,포항시,오도1리,오도리 해수욕장,29.51,B
갯바위,부산시,이기대,이기대갯바위,29.51,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.51,B
방파제,울산시,방어진항,방어진항방파제,29.51,B
갯바위,삼척시,갈남리,갈남해수욕장,29.52,B
갯벌,서천군,선도리,선도리갯벌,29.53,B
갯바위,삼척시,갈남리,갈남해수욕장,29.54,B
갯바위,부산시,이기대,이기대갯바위,29.54,B
갯바위,부산시,이기대,이기대갯바위,29.54,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.54,B
해수욕장,포항시,오도1리,오도리 해수욕장,29.55,B
방파제,영덕군,축산항,축산방파제,29.55,B
방파제,영덕군,축산항,축산방파제,29.55,B
갯바위,삼척시,갈남리,갈남해수욕장,29.56,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.57,B
갯바위,부산시,이기대,이기대갯바위,29.59,B
갯바위,부산시,이기대,이기대갯바위,29.62,B
갯바위,삼척시,갈남리,갈남해수욕장,29.63,B
방파제,울산시,방어진항,방어진항방파제,29.63,B
갯바위,부산시,이기대,이기대갯바위,29.64,B
갯바위,부산시,이기대,이기대갯바위,29.64,B
방파제,울산시,방어진항,방어진항방파제,29.64,B
갯벌,서천군,선도리,선도리갯벌,29.64,B
해수욕장,포항시,오도1리,오도리 해수욕장,29.65,B
갯벌,태안군,방포항,할미할아비바위,29.67,B
갯바위,부산시,이기대,이기대갯바위,29.68,B
갯벌,태안군,방포항,할미할아비바위,29.68,B
갯바위,부산시,대변항,대변항 북측 갯바위,29.68,B
갯바위,부산시,이기대,이기대갯바위,29.7,B
방파제,영덕군,축산항,축산방파제,29.73,B
